0000025062,KYIV ST INST PHYS CULT,UKR,SIS,KYIV ST PHYS CULT INSTITUTE,KYIV ST INST PHYS CULT,INSTITUTE 
0000017819,AGOGO TRAINING COLLEGE,GHA,SIS,AGOGO TRAINING COLLEGE,AGOGO TRAINING COLLEGE,COLLEGE 
0000017827,DAMBAI TRAINING COLLEGE,GHA,SIS,DAMBAI TRAINING COLLEGE,DAMBAI TRAINING COLLEGE,COLLEGE 
0000017834,MOUNT MARY TRAINING COLLEGE,GHA,SIS,MOUNT MARY TRAINING COLLEGE,MOUNT MARY TRAINING COLLEGE,COLLEGE 
0000018034,INST SUP SCI ECON POLIT,HTI,SIS,SUP SCI ECON POLIT INSTITUTE,INST SUP SCI ECON POLIT,INSTITUTE 
0000024181,SHARJAH COLL,ARE,SIS,SHARJAH COLLEGE,SHARJAH COLL,COLLEGE 
0000016697,ALEXANDRIA UERISTY,EGY,SIS,ALEXANDRIA UERISTY UNIVERSITY,ALEXANDRIA UERISTY,UNIVERSITY 
0000016742,INSTITUTE SOCIAL SERVICES KAFR AL SHEIKH,EGY,SIS,SOCIAL SERVICES KAFR AL SHEIKH INSTITUTE,INSTITUTE SOCIAL SERVICES KAFR AL SHEIKH,INSTITUTE 
0000016761,UNIVERSITY HELWAN,EGY,SIS,HELWAN UNIVERSITY,UNIVERSITY HELWAN,UNIVERSITY 
0000020961,VILNIUS TECH U,LTU,SIS,VILNIUS TECH UNIVERSITY,VILNIUS TECH U,UNIVERSITY 
0000021713,U BENIN,NGA,SIS,BENIN UNIVERSITY,U BENIN,UNIVERSITY 
0000021786,BERGEN COLL MENTAL NURS,NOR,SIS,BERGEN MENTAL NURS COLLEGE,BERGEN COLL MENTAL NURS,COLLEGE 
0000021790,BETANIEN COLL NURS OSLO,NOR,SIS,BETANIEN NURS OSLO COLLEGE,BETANIEN COLL NURS OSLO,COLLEGE 
0000020926,LATVIAN ACD CULT,LVA,SIS,LATVIAN CULT ACADEMY,LATVIAN ACD CULT,ACADEMY 
0000021814,EAST AGDER COLL NURS,NOR,SIS,EAST AGDER NURS COLLEGE,EAST AGDER COLL NURS,COLLEGE 
0000021816,ELVERUM COLL ED,NOR,SIS,ELVERUM ED COLLEGE,ELVERUM COLL ED,COLLEGE 
0000020948,KAUNO MED ACD INST PSYCHOPHYS,LTU,SIS,KAUNO MED PSYCHOPHYS INSTITUTE ACADEMY,KAUNO MED ACD INST PSYCHOPHYS,INSTITUTE ACADEMY 
0000024841,U COLL SWANSEA,GBR,SIS,SWANSEA UNIVERSITY COLLEGE,U COLL SWANSEA,UNIVERSITY COLLEGE 
0000024842,U COLL WALES ABERYSTWYTH,GBR,SIS,WALES ABERYSTWYTH UNIVERSITY COLLEGE,U COLL WALES ABERYSTWYTH,UNIVERSITY COLLEGE 
0003060552,MADONNA UNIVERSITY OKIJA,NGA,SIS,MADONNA OKIJA UNIVERSITY,MADONNA UNIVERSITY OKIJA,UNIVERSITY 
0000013623,ESCOLA NORMAL INTEGRADA SEDES SAPIENTIA,BOL,SIS,ESCOLA NORMAL INTEGRADA SEDES SAPIENTIA ,ESCOLA NORMAL INTEGRADA SEDES SAPIENTIA,
0003024415,NAT INST OF BUSINESS MGMT,LKA,SIS,NAT BUSINESS MGMT INSTITUTE,NAT INST OF BUSINESS MGMT,INSTITUTE 
0000013628,INSTITUTE NORMAL ESPECIALIZADO EDUCACION FISICAL,BOL,SIS,NORMAL ESPECIALIZADO EDUCACION FISICAL INSTITUTE,INSTITUTE NORMAL ESPECIALIZADO EDUCACION FISICAL,INSTITUTE 
0002889275,THE PURCELL SCHOOL OF MUSIC,GBR,SIS,THE PURCELL MUSIC SCHOOL,THE PURCELL SCHOOL OF MUSIC,SCHOOL 
0000013714,INTERNATIONAL INSTITUTE OF LABOR AND SOCIAL RELATI,BLR,SIS,INTERNATIONAL LABOR SOCIAL RELATI INSTITUTE,INTERNATIONAL INSTITUTE OF LABOR AND SOCIAL RELATI,INSTITUTE 
0002912878,SAN IGNACIO BOSQUE,CHL,SIS,SAN IGNACIO BOSQUE ,SAN IGNACIO BOSQUE,
0000024845,U BIRMINGHAM,GBR,SIS,BIRMINGHAM UNIVERSITY,U BIRMINGHAM,UNIVERSITY 
0000024916,U NEWCASTLE UPON TYNE,GBR,SIS,NEWCASTLE UPON TYNE UNIVERSITY,U NEWCASTLE UPON TYNE,UNIVERSITY 
0000022349,U GDANSK,POL,SIS,GDANSK UNIVERSITY,U GDANSK,UNIVERSITY 
0000025029,KHARKIV ST INST ED,UKR,SIS,KHARKIV ST ED INSTITUTE,KHARKIV ST INST ED,INSTITUTE 
0000022309,COLL ENGG RADOM,POL,SIS,ENGG RADOM COLLEGE,COLL ENGG RADOM,COLLEGE 
0000022078,INST SUP PED PUCALLPA,PER,SIS,SUP PED PUCALLPA INSTITUTE,INST SUP PED PUCALLPA,INSTITUTE 
0000022086,INST SUP PED TAYABAMBA,PER,SIS,SUP PED TAYABAMBA INSTITUTE,INST SUP PED TAYABAMBA,INSTITUTE 
0000025294,INST U POLITEC EXP GUAYANA,VEN,SIS,POLITEC EXP GUAYANA UNIVERSITY INSTITUTE,INST U POLITEC EXP GUAYANA,UNIVERSITY INSTITUTE 
0000025129,SVALIAVSK DOVZHANSK HGR COLL E,UKR,SIS,SVALIAVSK DOVZHANSK HGR E COLLEGE,SVALIAVSK DOVZHANSK HGR COLL E,COLLEGE 
0000024118,LUND U,SWE,SIS,LUND UNIVERSITY,LUND U,UNIVERSITY 
0000016837,UNIVERSITY PAZ,SLV,SIS,PAZ UNIVERSITY,UNIVERSITY PAZ,UNIVERSITY 
0000013606,ST JOHN'S COLLEGE,BLZ,SIS,ST JOHNS COLLEGE,ST JOHN'S COLLEGE,COLLEGE 
0000021954,U NTL ING,NIC,SIS,NTL ING UNIVERSITY,U NTL ING,UNIVERSITY 
0000021990,NEW ZEALAND LIBY ASSOC,NZL,SIS,NEW ZEALAND LIBY ASSOC ,NEW ZEALAND LIBY ASSOC,
0000022029,CHICLAYO U,PER,SIS,CHICLAYO UNIVERSITY,CHICLAYO U,UNIVERSITY 
0000022036,INST SUP PED AREQUIPA,PER,SIS,SUP PED AREQUIPA INSTITUTE,INST SUP PED AREQUIPA,INSTITUTE 
0000022049,INST SUP PED FRAY FLORENCIO PA,PER,SIS,SUP PED FRAY FLORENCIO PA INSTITUTE,INST SUP PED FRAY FLORENCIO PA,INSTITUTE 
0000022230,U RICARDO PALMA,PER,SIS,RICARDO PALMA UNIVERSITY,U RICARDO PALMA,UNIVERSITY 
0000019195,TECHNICAL INSTITUTE AGRICULTURE BAGHDAD,IRQ,SIS,TECHNICAL AGRICULTURE BAGHDAD INSTITUTE,TECHNICAL INSTITUTE AGRICULTURE BAGHDAD,INSTITUTE 
0000019199,TECHNICAL INSTITUTE AGRICULTURE MISAN,IRQ,SIS,TECHNICAL AGRICULTURE MISAN INSTITUTE,TECHNICAL INSTITUTE AGRICULTURE MISAN,INSTITUTE 
0000019203,TECHNICAL INSTITUTE MEDICINE,IRQ,SIS,TECHNICAL MEDICINE INSTITUTE,TECHNICAL INSTITUTE MEDICINE,INSTITUTE 
0000019209,UNIVERSITY TECHNOLOGY,IRQ,SIS,TECHNOLOGY UNIVERSITY,UNIVERSITY TECHNOLOGY,UNIVERSITY 
0003378701,ABINGDON SCHOOL,GBR,SIS,ABINGDON SCHOOL,ABINGDON SCHOOL,SCHOOL 
0003378702,NEW HALL SCHOOL,GBR,SIS,NEW HALL SCHOOL,NEW HALL SCHOOL,SCHOOL 
0003543900,"UNIVERSITY OF MUSIC AND PERFORMING ARTS, VIENNA",AUT,SIS,MUSIC PERFORMING ARTS VIENNA UNIVERSITY,"UNIVERSITY OF MUSIC AND PERFORMING ARTS, VIENNA",UNIVERSITY 
0002933723,WESLEY GIRLS HIGH SCHOOL,GHA,SIS,WESLEY GIRLS HIGH SCHOOL,WESLEY GIRLS HIGH SCHOOL,SCHOOL 
0002934675,NAHIL GIRLS SCHOOL,ARE,SIS,NAHIL GIRLS SCHOOL,NAHIL GIRLS SCHOOL,SCHOOL 
0003055829,IBIKUNLE LAWAL COLLEGE,NGA,SIS,IBIKUNLE LAWAL COLLEGE,IBIKUNLE LAWAL COLLEGE,COLLEGE 
0001710703,STOCKHOLM INTERNATIONAL SCHOOL,SWE,SIS,STOCKHOLM INTERNATIONAL SCHOOL,STOCKHOLM INTERNATIONAL SCHOOL,SCHOOL 
0000010949,AMERICAN INTL SCHOOL BUDAPEST,HUN,SIS,AMERICAN INTL BUDAPEST SCHOOL,AMERICAN INTL SCHOOL BUDAPEST,SCHOOL 
2000034916,ERIN COMMUNITY GRAMMAR SCHOOL,NGA,SIS,ERIN COMMUNITY GRAMMAR SCHOOL,ERIN COMMUNITY GRAMMAR SCHOOL,SCHOOL 
2000081487,HANOI ACADEMY,VNM,SIS,HANOI ACADEMY,HANOI ACADEMY,ACADEMY 
2000051730,STARS INTERNATIONAL COLLEGE,NGA,SIS,STARS INTERNATIONAL COLLEGE,STARS INTERNATIONAL COLLEGE,COLLEGE 
0002858814,REPTON SCHOOL DUBAI,ARE,SIS,REPTON DUBAI SCHOOL,REPTON SCHOOL DUBAI,SCHOOL 
0000010700,LATIFA SCHOOL FOR GIRLS,ARE,SIS,LATIFA GIRLS SCHOOL,LATIFA SCHOOL FOR GIRLS,SCHOOL 
0002838184,AL ADHWA PRIVATE SCHOOL,ARE,SIS,AL ADHWA PRIVATE SCHOOL,AL ADHWA PRIVATE SCHOOL,SCHOOL 
0003562277,COLEGIO HAN AL AMERICANO,GTM,SIS,COLEGIO HAN AL AMERICANO ,COLEGIO HAN AL AMERICANO,
2000008549,SHEFFIELD HALLAM UNIVERSITY,GBR,SIS,SHEFFIELD HALLAM UNIVERSITY,SHEFFIELD HALLAM UNIVERSITY,UNIVERSITY 
2000007181,SUNRISE ENGLISH PRIVATE SCHOOL,ARE,SIS,SUNRISE ENGLISH PRIVATE SCHOOL,SUNRISE ENGLISH PRIVATE SCHOOL,SCHOOL 
2000084161,"EF ACADEMY, TORBAY",GBR,SIS,EF TORBAY ACADEMY,"EF ACADEMY, TORBAY",ACADEMY 
0002664831,ANATOL RODGERS HIGH,BHS,SIS,ANATOL RODGERS HIGH ,ANATOL RODGERS HIGH,
0003263926,AMERICAN SCHOOL OF VIETNAM,VNM,SIS,AMERICAN VIETNAM SCHOOL,AMERICAN SCHOOL OF VIETNAM,SCHOOL 
0000417135,KAUMEYA LANGUAGE SCHOOL,EGY,SIS,KAUMEYA LANGUAGE SCHOOL,KAUMEYA LANGUAGE SCHOOL,SCHOOL 
0002093530,SONLIGHT ACADEMY,HTI,SIS,SONLIGHT ACADEMY,SONLIGHT ACADEMY,ACADEMY 
